Affiliation,PIs,Cancer type 
"PRINCIPAL_INVESTIGATOR, Nicoletta Colombo, MD, Istituto Europeo di Oncologia (IEO) - Milan","Nicoletta Colombo, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Anne-Marie C Dingemans, MD PhD, Dutch Society of Physicians for Pulmonology and Tuberculosis","Anne-Marie C Dingemans, MD PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Caicun Zhou, PhD, Shanghai Pulmonary Hospital, Shanghai, China","Caicun Zhou, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Han Myint, MD, NextCure, Inc.","Han Myint, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Joshua Meyer, MD, Fox Chase Cancer Center","Joshua Meyer, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Cho Lee WONG, PhD, The Nethersole School of Nursing, Chinese University of Hong Kong|   PRINCIPAL_INVESTIGATOR, Huiyuan LI, PhD, The Nethersole School of Nursing, Chinese University of Hong Kong","Cho Lee WONG, PhD| Huiyuan LI, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Sarina A Piha-Paul, M.D., M.D. Anderson Cancer Center","Sarina A Piha-Paul, M.D.",Lung cancer (Ongoing)
"STUDY_CHAIR, YanYan NA Liu, phD, Henan Cancer Hospital","YanYan NA Liu, phD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Iovance Biotherapeutics Medical Monitor, Iovance Biotherapeutics",Iovance Biotherapeutics Medical Monitor,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Study Officials, Conjupro Biotherapeutics, Inc.",Study Officials,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Novartis Pharmaceuticals, Novartis Pharmaceuticals",Novartis Pharmaceuticals,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Phillip Dennis, MD, PhD, AstraZeneca","Phillip Dennis, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Vassiliki Saloura, M.D., National Cancer Institute (NCI)","Vassiliki Saloura, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Kristen Marrone, MD, Johns Hopkins University","Kristen Marrone, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Hongyun Zhao, Sun Yat-sen University",Hongyun Zhao,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, David Gerber, MD, Professor","David Gerber, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Leona Hamrick, DHSc, PA-C, MSL-BC, Biodesix, Inc.|   PRINCIPAL_INVESTIGATOR, Michael Pritchett, DO, Pinehurst Medical Clinic","Leona Hamrick, DHSc, PA-C, MSL-BC| Michael Pritchett, DO",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Pablo Berlanga, MD, Gustave Roussy, Cancer Campus, Grand Paris","Pablo Berlanga, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Catherine Henshall, PhD, Oxford Brookes University","Catherine Henshall, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Haiying Cheng, Albert Einstein College of Medicine EDDOP",Haiying Cheng,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Sherif M. Badawy, MD, MS, Ann & Robert H Lurie Children's Hospital of Chicago","Sherif M. Badawy, MD, MS",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Emily Plowman, PhD, University of Florida","Emily Plowman, PhD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Zwi N Berneman, MD, PhD, Antwerp University Hospital, Division of Hematology and Center for Cell Therapy and Regenerative Medicine|   PRINCIPAL_INVESTIGATOR, Paul Germonpré, MD, PhD, AZ Maria Middelares, Respiratory Oncology & Integrated Cancer Center Ghent|   PRINCIPAL_INVESTIGATOR, Koen Deschepper, MD, VITAZ, Division of Pulmonary and Infectious Diseases","Zwi N Berneman, MD, PhD| Paul Germonpré, MD, PhD| Koen Deschepper, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Frank Arguello, MD, Dr. Frank Arguello Cancer Clinic|   PRINCIPAL_INVESTIGATOR, Rafael Argüello-Astorga, MD, PhD, Instituto de Ciencia y Medicina Genomica","Frank Arguello, MD| Rafael Argüello-Astorga, MD, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, He-Cheng Li, doctor, Ruijin Hospital","He-Cheng Li, doctor",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Calvin Ng, MD, Chinese University of Hong Kong, Prince of Wales Hospital","Calvin Ng, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Francois Benard, MD, BC Cancer","Francois Benard, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, FRANCISCO-JAVIER GONZALEZ-BARCALA, MD, PHD, CLINIC UNIVERSITY HOSPITAL","FRANCISCO-JAVIER GONZALEZ-BARCALA, MD, PHD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ying Cheng, MD, Jilin Provincial Tumor Hospital","Ying Cheng, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Dengfeng Wang, M.D., Sichuan Cancer Hospital and Research Institute","Dengfeng Wang, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jussuf T Kaifi, MD, PhD, Ellis Fischel Cancer Center, University of Missouri","Jussuf T Kaifi, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Deborah Doroshow, MD, MOUNT SINAI HOSPITAL","Deborah Doroshow, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Lorenzo Cohen, M.D. Anderson Cancer Center",Lorenzo Cohen,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ramaswamy Govindan, M.D., Washington University School of Medicine","Ramaswamy Govindan, M.D.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Pfizer CT.gov Call Center, Pfizer",Pfizer CT.gov Call Center,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Raquibul Hannan, MD, UTSW","Raquibul Hannan, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Emin Avsar, Loxo Oncology, Inc.",Emin Avsar,Lung cancer (Ongoing)
"STUDY_CHAIR, Jhingook Kim, MD, Samsung Medical Center","Jhingook Kim, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jeremy Warner, MD, Vanderbilt-Ingram Cancer Center","Jeremy Warner, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Hedy L Kindler, MD, University of Chicago","Hedy L Kindler, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Pfizer CT.gov Call Center, Pfizer",Pfizer CT.gov Call Center,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, David Hui, M.D. Anderson Cancer Center",David Hui,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Xiuning Le, MD,PHD, M.D. Anderson Cancer Center","Xiuning Le, MD,PHD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Luu Pham, MD, Johns Hopkins University","Luu Pham, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Axel Karow, MD, Department of Pediatrics and Adolescent Medicine, University Hospital Erlangen|   PRINCIPAL_INVESTIGATOR, Ferdinand Knieling, MD, Department of Pediatrics and Adolescent Medicine, University Hospital Erlangen|   PRINCIPAL_INVESTIGATOR, Rafael Heiß, MD, Institute of Radiology, University Hospital Erlangen","Axel Karow, MD| Ferdinand Knieling, MD| Rafael Heiß, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Golo Ahlenstiel, Professor, Blacktown Hospital, Western Sydney Local Health District","Golo Ahlenstiel, Professor",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Andreas Rimner, MD, NRG Oncology","Andreas Rimner, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Morten Quist, ph.d., Rigshospitalet, Denmark","Morten Quist, ph.d.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Cyrille CONFAVREUX, PR, Service de Rhumatologie","Cyrille CONFAVREUX, PR",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jana Ivanidze, MD/Ph.D, Weill Medical College of Cornell University","Jana Ivanidze, MD/Ph.D",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ying Cheng, MB, Jilin Provincial Tumor Hospital","Ying Cheng, MB",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jakob Usemann, PD Dr. med., University Children's Hospital Basel, UKBB","Jakob Usemann, PD Dr. med.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Dongsheng Yue, Tianjin Medical University Cancer Institute & Hospital|   PRINCIPAL_INVESTIGATOR, Richeng Jiang, Tianjin Medical University Cancer Institute & Hospital",Dongsheng Yue| Richeng Jiang,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, N. Lakhani, MD PhD, START Midwest, USA","N. Lakhani, MD PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Shipra Gandhi, MD, Roswell Park Cancer Institute","Shipra Gandhi, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Sophia Koo, MD, Brigham and Women's Hospital/Dana-Farber Cancer Institute|   PRINCIPAL_INVESTIGATOR, Jennifer Manne-Goehler, MD, ScD, Brigham and Women's Hospital|   PRINCIPAL_INVESTIGATOR, Sarah P Hammond, MD, Massachusetts General Hospital","Sophia Koo, MD| Jennifer Manne-Goehler, MD, ScD| Sarah P Hammond, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Robert Burger, MD, Mersana Therapeutics","Robert Burger, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jessica Sieren, PhD, University of Iowa","Jessica Sieren, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ying Cheng, MD, Jilin Province Cancer Hospital","Ying Cheng, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ashley E Prosper, UCLA / Jonsson Comprehensive Cancer Center",Ashley E Prosper,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Jeannie Hou, MD, Replimune Inc.","Jeannie Hou, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Serban Ghiorghiu, MSD, AstraZeneca","Serban Ghiorghiu, MSD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jourik Gietema, MD PhD, Universirty Medical Centre Groningen","Jourik Gietema, MD PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, David Cabral, MBBS, University of British Columbia; BC Children's Hospital|   PRINCIPAL_INVESTIGATOR, Raashid Luqmani, DM FRCP(E), University of Oxford|   PRINCIPAL_INVESTIGATOR, Dirk Foell, MD, University of Muenster|   PRINCIPAL_INVESTIGATOR, Robert Hancock, PhD, University of British Columbia|   PRINCIPAL_INVESTIGATOR, Colin Ross, PhD, University of British Columbia","David Cabral, MBBS| Raashid Luqmani, DM FRCP(E)| Dirk Foell, MD| Robert Hancock, PhD| Colin Ross, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Janssen Research & Development, LLC Clinical trial, Janssen Research & Development, LLC","Janssen Research & Development, LLC Clinical trial",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Luke V Selby, University of Kansas",Luke V Selby,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jennifer Chan, MD, MPH, Dana-Farber Cancer Institute","Jennifer Chan, MD, MPH",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Peter Mazzone, MD, MPH, The Cleveland Clinic|   PRINCIPAL_INVESTIGATOR, Luke RG Pike, MD, DPhil, Memorial Sloan Kettering Cancer Center","Peter Mazzone, MD, MPH| Luke RG Pike, MD, DPhil",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Bryan Burt, MD, Baylor College of Medicine Thoracic Surgery","Bryan Burt, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Elisabeth Oelmann, MD, PhD, NuCana plc","Elisabeth Oelmann, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Melissa Johnson, M.D., Tennessee Oncology","Melissa Johnson, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Likun Chen, Sun Yat-sen University",Likun Chen,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Krzysztof Misiukiewicz, MD, Icahn School of Medicine at Mount Sinai","Krzysztof Misiukiewicz, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Alfredo Addeo, Département d'Oncologie Hôpitaux Universitaires de Genève|   STUDY_CHAIR, Sanjay Popat, Royal Marsden NHS Foundation Trust",Alfredo Addeo| Sanjay Popat,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Tianshu Liu, Doctor, Shanghai Zhongshan Hospital","Tianshu Liu, Doctor",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Keng-Fu Hsu, PhD, National Cheng-Kung University Hospital","Keng-Fu Hsu, PhD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Jarret Glasscock, Cofactor Genomics",Jarret Glasscock,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Hamide Sahin-Yildiz, Msc,PT, Ankara University","Hamide Sahin-Yildiz, Msc,PT",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_CHAIR, Pierre Soubeyran, Institut Bergonié",Pierre Soubeyran,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Stephen Shiao, MD, PhD, Cedars-Sinal Medical Center","Stephen Shiao, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Tu Dan, MD, UT Southwestern Medical Center","Tu Dan, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Alexander Cohen, M.D., Washington University School of Medicine","Alexander Cohen, M.D.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Medical Director, Arcus Biosciences, Inc.",Medical Director,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Xichao Dai, Yancheng Clinical College of Xuzhou Medical University",Xichao Dai,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Claudia Lengerke, Ph.D., University Hospital Tübingen|   STUDY_DIRECTOR, Florian Wimmers, Ph.D., University Hospital Tuebingen","Claudia Lengerke, Ph.D.| Florian Wimmers, Ph.D.",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Karen Reckamp, MD, MS, Cedars-Sinai Medical Center","Karen Reckamp, MD, MS",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Haiquan Chen, M.D., Fudan University","Haiquan Chen, M.D.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Pfizer CT.gov Call Center, Pfizer",Pfizer CT.gov Call Center,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Yinghui Sun, PhD, Shouyao Holdings (Beijing) Co. LTD","Yinghui Sun, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Erica T Warner, ScD, Massachusetts General Hospital|   PRINCIPAL_INVESTIGATOR, Lecia V Sequist, MD, Massachusetts General Hospital","Erica T Warner, ScD| Lecia V Sequist, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Nikolaos Trikalinos, M.D., Washington University School of Medicine","Nikolaos Trikalinos, M.D.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Jiayuan Sun, MD, PhD, Shanghai Chest Hospital","Jiayuan Sun, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Changping Gu, doctor, Qianfoshan Hospital, The First Hospital affiliated of Shandong First Medical University","Changping Gu, doctor",Lung cancer (Ongoing)
"STUDY_CHAIR, Chul Kim, MD, Georgetown University","Chul Kim, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Christine Lovera, Centre Antoine Lacassagne",Christine Lovera,Lung cancer (Ongoing)
"STUDY_CHAIR, Tiziano Barbui, Prof, Fondazione per la Ricerca Ospedale di Bergamo","Tiziano Barbui, Prof",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Runlin Gao, MD, Fu Wai Hospital & National Center for Cardiovascular Diseases in China","Runlin Gao, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Joachim Aerts, Erasmus Medical Center",Joachim Aerts,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Pasi A Janne, MD, PhD, Dana-Farber Cancer Institute","Pasi A Janne, MD, PhD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Qiying Lu, MD, ImmuneOnco Biopharmaceuticals (Shanghai) Inc.","Qiying Lu, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Barbara O'Brien, MD, M.D. Anderson Cancer Center","Barbara O'Brien, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Mariano Provencio, MD, Fundación GECP President","Mariano Provencio, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Raffit Hassan, M.D., National Cancer Institute (NCI)","Raffit Hassan, M.D.",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Yongde Liao, PhD, Wuhan Union Hospital, China","Yongde Liao, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Lifeng Sun, 2ndAffiliated Hospital, School of Medicine, Zhejiang University, China",Lifeng Sun,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Gülten Arslan, DrLutfiKirdar training and research hospital",Gülten Arslan,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Pasi A Jänne, MD, PhD, Dana-Farber Cancer Institute","Pasi A Jänne, MD, PhD",Lung cancer (Ongoing)
"STUDY_CHAIR, Michael Weller, MD, University of Zurich|   STUDY_CHAIR, Rolf Stahel, MD, ETOP IBCSG Partners Foundation","Michael Weller, MD| Rolf Stahel, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Renchi Yang, Doctor, Institute of Hematology and Blood Diseases Hospital, Chinese Academy of Medical Sciences|   PRINCIPAL_INVESTIGATOR, Shujie Wang, Doctor, Peking Union Medical College Hospital|   PRINCIPAL_INVESTIGATOR, Hu Zhou, Doctor, Henan Cancer Hospital（The Affiliated Cancer Hospital Of ZhengZhou University)|   PRINCIPAL_INVESTIGATOR, Ziqiang Yu, Doctor, The First Affiliated Hospital of Soochow University|   PRINCIPAL_INVESTIGATOR, Changcheng Zheng, Doctor, The First Affiliated Hospital of USTC (Anhui Provincial Hospital)|   PRINCIPAL_INVESTIGATOR, Jing Sun, Doctor, Nanfang Hospital, Southern Medical University|   PRINCIPAL_INVESTIGATOR, Xielan Zhao, Doctor, Xiangya Hospital of Central South University","Renchi Yang, Doctor| Shujie Wang, Doctor| Hu Zhou, Doctor| Ziqiang Yu, Doctor| Changcheng Zheng, Doctor| Jing Sun, Doctor| Xielan Zhao, Doctor",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Jean-Marie Cuillerot, MD, Chief Medical Officer","Jean-Marie Cuillerot, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Kieuhoa T Vo, Children's Oncology Group",Kieuhoa T Vo,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jan P Van Meerbeeck, MD, University Hospital, Antwerp","Jan P Van Meerbeeck, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Sean S Park, MD, PhD, Mayo Clinic","Sean S Park, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jeremie Calais, MD, Clinical Research Director, Ahmanson Translational Theranostics","Jeremie Calais, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Gustavo Dziewczapolski, PhD, CureCMD, CMDIR","Gustavo Dziewczapolski, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Luis G Carvajal-Carmona, University of California, Davis",Luis G Carvajal-Carmona,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jon Amund Kyte, MD, Ph.D., Oslo University Hospital","Jon Amund Kyte, MD, Ph.D.",Lung cancer (Ongoing)
"STUDY_CHAIR, Zhe Zheng, MD, PhD, Fuwai Hospital, Chinese Academy of Medical Science","Zhe Zheng, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Geoff Cuvelier, MD, University of Manitoba|   PRINCIPAL_INVESTIGATOR, Kirk R Schultz, MD, University of British Columbia","Geoff Cuvelier, MD| Kirk R Schultz, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Paige L Williams, Harvard School of Public Health (HSPH)|   PRINCIPAL_INVESTIGATOR, Russell Van Dyke, MD, Tulane University School of Medicine|   PRINCIPAL_INVESTIGATOR, Katherine Tassiopoulos, DSc, MPH, Harvard School of Public Health (HSPH)","Paige L Williams| Russell Van Dyke, MD| Katherine Tassiopoulos, DSc, MPH",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Bilal Omer, MD, Baylor College of Medicine","Bilal Omer, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_CHAIR, David Palma, MD, London Health Sciences Centre, Lawson Health Research Institute|   STUDY_CHAIR, Houda Bahig, MD, Centre Hospitalier de l'Universite de Montreal","David Palma, MD| Houda Bahig, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Robert B. Montgomery, MD, VA Puget Sound Health Care System Seattle Division, Seattle, WA|   PRINCIPAL_INVESTIGATOR, Maneesh Jain, MD, Washington DC VA Medical Center, Washington, DC|   PRINCIPAL_INVESTIGATOR, Phoebe Tsao, MD MSc, VA Ann Arbor Healthcare System, Ann Arbor, MI|   PRINCIPAL_INVESTIGATOR, Ryan Burri, MD, Bay Pines VA Healthcare System, Pay Pines, FL","Robert B. Montgomery, MD| Maneesh Jain, MD| Phoebe Tsao, MD MSc| Ryan Burri, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Ocellaris Pharma, Inc, Ocellaris Pharma, Inc.","Ocellaris Pharma, Inc",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Wallace Akerley, MD, Huntsman Cancer Institute","Wallace Akerley, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Irach Taraporewala, PhD, CEO and Director, EOM Pharma|   STUDY_DIRECTOR, Frank L Douglas, PhD, MD, Scientific Advisor & Chair of Scientific Advisory Board, EOM Pharma|   PRINCIPAL_INVESTIGATOR, Florentino Cardoso Filho, MD, PhD, Physician, Casa de Saude Hospital, Campinas, SP","Irach Taraporewala, PhD| Frank L Douglas, PhD, MD| Florentino Cardoso Filho, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Dong Wook Shin, MD., Ph.D., Samsung Medical Center, Seoul, Korea","Dong Wook Shin, MD., Ph.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Robin Wijsman, MD, University Medical Center Groningen","Robin Wijsman, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Pfizer CT.gov Call Center, Pfizer",Pfizer CT.gov Call Center,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Muhhamad Furqan, MD, University of Iowa","Muhhamad Furqan, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Akhil Kumar, Aurigene Oncology Limited",Akhil Kumar,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Matthew Krebs, Prof, The Christie Hospital","Matthew Krebs, Prof",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Arjun Pennathur, MD, Associate Professor of Cardiothoracic Surgery and Critical Care Medicine","Arjun Pennathur, MD",Lung cancer (Ongoing)
